Id;Segment;Country;Product;DiscountBand;UnitsSold;ManufacturingPrice;SalePrice;GrossSales;Discounts;Sales;COGS;Profit;Date;MonthNumber;MonthName;Year
354;Government;France;Amarilla;Medium;2876.0;260.0;350.0;1006600.0;70462.0;936138.0;747760.0;188378.0;2014-09-01;9.0;September;2014.0
355;Enterprise;Germany;Amarilla;Medium;994.0;260.0;125.0;124250.0;8697.5;115552.5;119280.0;-3727.5;2013-09-01;9.0;September;2013.0
356;Government;Canada;Amarilla;Medium;1118.0;260.0;20.0;22360.0;1565.2;20794.8;11180.0;9614.8;2014-11-01;11.0;November;2014.0
357;Small Business;United States of America;Amarilla;Medium;1372.0;260.0;300.0;411600.0;28812.0;382788.0;343000.0;39788.0;2014-12-01;12.0;December;2014.0
358;Government;Canada;Montana;Medium;488.0;5.0;7.0;3416.0;273.28;3142.720000000001;2440.0;702.7200000000003;2014-02-01;2.0;February;2014.0
359;Government;United States of America;Montana;Medium;1282.0;5.0;20.0;25640.0;2051.2;23588.8;12820.0;10768.8;2014-06-01;6.0;June;2014.0
360;Government;Canada;Paseo;Medium;257.0;10.0;7.0;1799.0;143.92;1655.08;1285.0;370.0799999999999;2014-05-01;5.0;May;2014.0
361;Government;United States of America;Amarilla;Medium;1282.0;260.0;20.0;25640.0;2051.2;23588.8;12820.0;10768.8;2014-06-01;6.0;June;2014.0
362;Enterprise;Mexico;Carretera;Medium;1540.0;3.0;125.0;192500.0;15400.0;177100.0;184800.0;-7700.0;2014-08-01;8.0;August;2014.0
363;Midmarket;France;Carretera;Medium;490.0;3.0;15.0;7350.0;588.0;6762.0;4900.0;1862.0;2014-11-01;11.0;November;2014.0
364;Government;Mexico;Carretera;Medium;1362.0;3.0;350.0;476700.0;38136.0;438564.0;354120.0;84444.0;2014-12-01;12.0;December;2014.0
365;Midmarket;France;Montana;Medium;2501.0;5.0;15.0;37515.0;3001.2;34513.8;25010.0;9503.800000000003;2014-03-01;3.0;March;2014.0
366;Government;Canada;Montana;Medium;708.0;5.0;20.0;14160.0;1132.8;13027.2;7080.0;5947.200000000003;2014-06-01;6.0;June;2014.0
367;Government;Germany;Montana;Medium;645.0;5.0;20.0;12900.0;1032.0;11868.0;6450.0;5418.0;2014-07-01;7.0;July;2014.0
368;Small Business;France;Montana;Medium;1562.0;5.0;300.0;468600.0;37488.0;431112.0;390500.0;40612.0;2014-08-01;8.0;August;2014.0
369;Small Business;Canada;Montana;Medium;1283.0;5.0;300.0;384900.0;30792.0;354108.0;320750.0;33358.0;2013-09-01;9.0;September;2013.0
370;Midmarket;Germany;Montana;Medium;711.0;5.0;15.0;10665.0;853.2;9811.8;7110.0;2701.7999999999993;2014-12-01;12.0;December;2014.0
371;Enterprise;Mexico;Paseo;Medium;1114.0;10.0;125.0;139250.0;11140.0;128110.0;133680.0;-5570.0;2014-03-01;3.0;March;2014.0
372;Government;Germany;Paseo;Medium;1259.0;10.0;7.0;8813.0;705.04;8107.96;6295.0;1812.96;2014-04-01;4.0;April;2014.0
373;Government;Germany;Paseo;Medium;1095.0;10.0;7.0;7665.0;613.2;7051.8;5475.0;1576.8000000000006;2014-05-01;5.0;May;2014.0
374;Government;Germany;Paseo;Medium;1366.0;10.0;20.0;27320.0;2185.6;25134.4;13660.0;11474.4;2014-06-01;6.0;June;2014.0
375;Small Business;Mexico;Paseo;Medium;2460.0;10.0;300.0;738000.0;59040.0;678960.0;615000.0;63960.0;2014-06-01;6.0;June;2014.0
376;Government;United States of America;Paseo;Medium;678.0;10.0;7.0;4746.0;379.68;4366.32;3390.0;976.3199999999997;2014-08-01;8.0;August;2014.0
377;Government;Germany;Paseo;Medium;1598.0;10.0;7.0;11186.0;894.88;10291.12;7990.0;2301.120000000001;2014-08-01;8.0;August;2014.0
378;Government;Germany;Paseo;Medium;2409.0;10.0;7.0;16863.0;1349.04;15513.96;12045.0;3468.9599999999987;2013-09-01;9.0;September;2013.0
379;Government;Germany;Paseo;Medium;1934.0;10.0;20.0;38680.0;3094.4;35585.6;19340.0;16245.6;2014-09-01;9.0;September;2014.0
380;Government;Mexico;Paseo;Medium;2993.0;10.0;20.0;59860.0;4788.8;55071.2;29930.0;25141.2;2014-09-01;9.0;September;2014.0
381;Government;Germany;Paseo;Medium;2146.0;10.0;350.0;751100.0;60088.0;691012.0;557960.0;133052.0;2013-11-01;11.0;November;2013.0
382;Government;Mexico;Paseo;Medium;1946.0;10.0;7.0;13622.0;1089.76;12532.24;9730.0;2802.24;2013-12-01;12.0;December;2013.0
383;Government;Mexico;Paseo;Medium;1362.0;10.0;350.0;476700.0;38136.0;438564.0;354120.0;84444.0;2014-12-01;12.0;December;2014.0
384;Channel Partners;Canada;Velo;Medium;598.0;120.0;12.0;7176.0;574.08;6601.92;1794.0;4807.92;2014-03-01;3.0;March;2014.0
385;Government;United States of America;Velo;Medium;2907.0;120.0;7.0;20349.0;1627.92;18721.08;14535.0;4186.080000000002;2014-06-01;6.0;June;2014.0
386;Government;Germany;Velo;Medium;2338.0;120.0;7.0;16366.0;1309.28;15056.72;11690.0;3366.7199999999993;2014-06-01;6.0;June;2014.0
387;Small Business;France;Velo;Medium;386.0;120.0;300.0;115800.0;9264.0;106536.0;96500.0;10036.0;2013-11-01;11.0;November;2013.0
388;Small Business;Mexico;Velo;Medium;635.0;120.0;300.0;190500.0;15240.0;175260.0;158750.0;16510.0;2014-12-01;12.0;December;2014.0
389;Government;France;VTT;Medium;574.5;250.0;350.0;201075.0;16086.0;184989.0;149370.0;35619.0;2014-04-01;4.0;April;2014.0
390;Government;Germany;VTT;Medium;2338.0;250.0;7.0;16366.0;1309.28;15056.72;11690.0;3366.7199999999993;2014-06-01;6.0;June;2014.0
391;Government;France;VTT;Medium;381.0;250.0;350.0;133350.0;10668.0;122682.0;99060.0;23622.0;2014-08-01;8.0;August;2014.0
392;Government;Germany;VTT;Medium;422.0;250.0;350.0;147700.0;11816.0;135884.0;109720.0;26164.0;2014-08-01;8.0;August;2014.0
393;Small Business;Canada;VTT;Medium;2134.0;250.0;300.0;640200.0;51216.0;588984.0;533500.0;55484.0;2014-09-01;9.0;September;2014.0
394;Small Business;United States of America;VTT;Medium;808.0;250.0;300.0;242400.0;19392.0;223008.0;202000.0;21008.0;2013-12-01;12.0;December;2013.0
395;Government;Canada;Amarilla;Medium;708.0;260.0;20.0;14160.0;1132.8;13027.2;7080.0;5947.200000000003;2014-06-01;6.0;June;2014.0
396;Government;United States of America;Amarilla;Medium;2907.0;260.0;7.0;20349.0;1627.92;18721.08;14535.0;4186.080000000002;2014-06-01;6.0;June;2014.0
397;Government;Germany;Amarilla;Medium;1366.0;260.0;20.0;27320.0;2185.6;25134.4;13660.0;11474.4;2014-06-01;6.0;June;2014.0
398;Small Business;Mexico;Amarilla;Medium;2460.0;260.0;300.0;738000.0;59040.0;678960.0;615000.0;63960.0;2014-06-01;6.0;June;2014.0
399;Government;Germany;Amarilla;Medium;1520.0;260.0;20.0;30400.0;2432.0;27968.0;15200.0;12768.0;2014-11-01;11.0;November;2014.0
400;Midmarket;Germany;Amarilla;Medium;711.0;260.0;15.0;10665.0;853.2;9811.8;7110.0;2701.7999999999993;2014-12-01;12.0;December;2014.0
401;Channel Partners;Mexico;Amarilla;Medium;1375.0;260.0;12.0;16500.0;1320.0;15180.0;4125.0;11055.0;2013-12-01;12.0;December;2013.0
402;Small Business;Mexico;Amarilla;Medium;635.0;260.0;300.0;190500.0;15240.0;175260.0;158750.0;16510.0;2014-12-01;12.0;December;2014.0
403;Government;United States of America;VTT;Medium;436.5;250.0;20.0;8730.0;698.4000000000003;8031.599999999998;4365.0;3666.6;2014-07-01;7.0;July;2014.0
404;Small Business;Canada;Carretera;Medium;1094.0;3.0;300.0;328200.0;29538.0;298662.0;273500.0;25162.0;2014-06-01;6.0;June;2014.0
405;Channel Partners;Mexico;Carretera;Medium;367.0;3.0;12.0;4404.0;396.36;4007.64;1101.0;2906.64;2013-10-01;10.0;October;2013.0
406;Small Business;Canada;Montana;Medium;3802.5;5.0;300.0;1140750.0;102667.5;1038082.5;950625.0;87457.5;2014-04-01;4.0;April;2014.0
407;Government;France;Montana;Medium;1666.0;5.0;350.0;583100.0;52479.0;530621.0;433160.0;97461.0;2014-05-01;5.0;May;2014.0
408;Small Business;France;Montana;Medium;322.0;5.0;300.0;96600.0;8694.0;87906.0;80500.0;7406.0;2013-09-01;9.0;September;2013.0
409;Channel Partners;Canada;Montana;Medium;2321.0;5.0;12.0;27852.0;2506.68;25345.32;6963.0;18382.32;2014-11-01;11.0;November;2014.0
410;Enterprise;France;Montana;Medium;1857.0;5.0;125.0;232125.0;20891.25;211233.75;222840.0;-11606.25;2013-11-01;11.0;November;2013.0
411;Government;Canada;Montana;Medium;1611.0;5.0;7.0;11277.0;1014.93;10262.07;8055.0;2207.07;2013-12-01;12.0;December;2013.0
412;Enterprise;United States of America;Montana;Medium;2797.0;5.0;125.0;349625.0;31466.25;318158.75;335640.0;-17481.25;2014-12-01;12.0;December;2014.0
413;Small Business;Germany;Montana;Medium;334.0;5.0;300.0;100200.0;9018.0;91182.0;83500.0;7682.0;2013-12-01;12.0;December;2013.0
414;Small Business;Mexico;Paseo;Medium;2565.0;10.0;300.0;769500.0;69255.0;700245.0;641250.0;58995.0;2014-01-01;1.0;January;2014.0
415;Government;Mexico;Paseo;Medium;2417.0;10.0;350.0;845950.0;76135.5;769814.5;628420.0;141394.5;2014-01-01;1.0;January;2014.0
416;Midmarket;United States of America;Paseo;Medium;3675.0;10.0;15.0;55125.0;4961.25;50163.75;36750.0;13413.75;2014-04-01;4.0;April;2014.0
417;Small Business;Canada;Paseo;Medium;1094.0;10.0;300.0;328200.0;29538.0;298662.0;273500.0;25162.0;2014-06-01;6.0;June;2014.0
418;Midmarket;France;Paseo;Medium;1227.0;10.0;15.0;18405.0;1656.45;16748.55;12270.0;4478.549999999998;2014-10-01;10.0;October;2014.0
419;Channel Partners;Mexico;Paseo;Medium;367.0;10.0;12.0;4404.0;396.36;4007.64;1101.0;2906.64;2013-10-01;10.0;October;2013.0
420;Small Business;France;Paseo;Medium;1324.0;10.0;300.0;397200.0;35748.0;361452.0;331000.0;30452.0;2014-11-01;11.0;November;2014.0
421;Channel Partners;Germany;Paseo;Medium;1775.0;10.0;12.0;21300.0;1917.0;19383.0;5325.0;14058.0;2013-11-01;11.0;November;2013.0
422;Enterprise;United States of America;Paseo;Medium;2797.0;10.0;125.0;349625.0;31466.25;318158.75;335640.0;-17481.25;2014-12-01;12.0;December;2014.0
423;Midmarket;Mexico;Velo;Medium;245.0;120.0;15.0;3675.0;330.75;3344.25;2450.0;894.25;2014-05-01;5.0;May;2014.0
424;Small Business;Canada;Velo;Medium;3793.5;120.0;300.0;1138050.0;102424.5;1035625.5;948375.0;87250.5;2014-07-01;7.0;July;2014.0
425;Government;Germany;Velo;Medium;1307.0;120.0;350.0;457450.0;41170.5;416279.5;339820.0;76459.5;2014-07-01;7.0;July;2014.0
426;Enterprise;Canada;Velo;Medium;567.0;120.0;125.0;70875.0;6378.75;64496.25;68040.0;-3543.75;2014-09-01;9.0;September;2014.0
427;Enterprise;Mexico;Velo;Medium;2110.0;120.0;125.0;263750.0;23737.5;240012.5;253200.0;-13187.5;2014-09-01;9.0;September;2014.0
428;Government;Canada;Velo;Medium;1269.0;120.0;350.0;444150.0;39973.5;404176.5;329940.0;74236.5;2014-10-01;10.0;October;2014.0
429;Channel Partners;United States of America;VTT;Medium;1956.0;250.0;12.0;23472.0;2112.48;21359.52;5868.0;15491.52;2014-01-01;1.0;January;2014.0
430;Small Business;Germany;VTT;Medium;2659.0;250.0;300.0;797700.0;71793.0;725907.0;664750.0;61157.0;2014-02-01;2.0;February;2014.0
431;Government;United States of America;VTT;Medium;1351.5;250.0;350.0;473025.0;42572.25;430452.75;351390.0;79062.75;2014-04-01;4.0;April;2014.0
432;Channel Partners;Germany;VTT;Medium;880.0;250.0;12.0;10560.0;950.4;9609.6;2640.0;6969.6;2014-05-01;5.0;May;2014.0
433;Small Business;United States of America;VTT;Medium;1867.0;250.0;300.0;560100.0;50409.0;509691.0;466750.0;42941.0;2014-09-01;9.0;September;2014.0
434;Channel Partners;France;VTT;Medium;2234.0;250.0;12.0;26808.0;2412.72;24395.28;6702.0;17693.28;2013-09-01;9.0;September;2013.0
435;Midmarket;France;VTT;Medium;1227.0;250.0;15.0;18405.0;1656.45;16748.55;12270.0;4478.549999999998;2014-10-01;10.0;October;2014.0
436;Enterprise;Mexico;VTT;Medium;877.0;250.0;125.0;109625.0;9866.25;99758.75;105240.0;-5481.25;2014-11-01;11.0;November;2014.0
437;Government;United States of America;Amarilla;Medium;2071.0;260.0;350.0;724850.0;65236.5;659613.5;538460.0;121153.5;2014-09-01;9.0;September;2014.0
438;Government;Canada;Amarilla;Medium;1269.0;260.0;350.0;444150.0;39973.5;404176.5;329940.0;74236.5;2014-10-01;10.0;October;2014.0
439;Midmarket;Germany;Amarilla;Medium;970.0;260.0;15.0;14550.0;1309.5;13240.5;9700.0;3540.5;2013-11-01;11.0;November;2013.0
440;Government;Mexico;Amarilla;Medium;1694.0;260.0;20.0;33880.0;3049.2;30830.8;16940.0;13890.8;2014-11-01;11.0;November;2014.0
441;Government;Germany;Carretera;Medium;663.0;3.0;20.0;13260.0;1193.4;12066.6;6630.0;5436.6;2014-05-01;5.0;May;2014.0
442;Government;Canada;Carretera;Medium;819.0;3.0;7.0;5733.0;515.97;5217.03;4095.0;1122.03;2014-07-01;7.0;July;2014.0
443;Channel Partners;Germany;Carretera;Medium;1580.0;3.0;12.0;18960.0;1706.4;17253.6;4740.0;12513.6;2014-09-01;9.0;September;2014.0
444;Government;Mexico;Carretera;Medium;521.0;3.0;7.0;3647.0;328.23;3318.77;2605.0;713.77;2014-12-01;12.0;December;2014.0
445;Government;United States of America;Paseo;Medium;973.0;10.0;20.0;19460.0;1751.4;17708.6;9730.0;7978.599999999998;2014-03-01;3.0;March;2014.0
446;Government;Mexico;Paseo;Medium;1038.0;10.0;20.0;20760.0;1868.4;18891.6;10380.0;8511.599999999999;2014-06-01;6.0;June;2014.0
447;Government;Germany;Paseo;Medium;360.0;10.0;7.0;2520.0;226.8;2293.2;1800.0;493.1999999999999;2014-10-01;10.0;October;2014.0
448;Channel Partners;France;Velo;Medium;1967.0;120.0;12.0;23604.0;2124.36;21479.64;5901.0;15578.64;2014-03-01;3.0;March;2014.0
449;Midmarket;Mexico;Velo;Medium;2628.0;120.0;15.0;39420.0;3547.8;35872.2;26280.0;9592.199999999997;2014-04-01;4.0;April;2014.0
450;Government;Germany;VTT;Medium;360.0;250.0;7.0;2520.0;226.8;2293.2;1800.0;493.1999999999999;2014-10-01;10.0;October;2014.0
451;Government;France;VTT;Medium;2682.0;250.0;20.0;53640.0;4827.6;48812.4;26820.0;21992.4;2013-11-01;11.0;November;2013.0
452;Government;Mexico;VTT;Medium;521.0;250.0;7.0;3647.0;328.23;3318.77;2605.0;713.77;2014-12-01;12.0;December;2014.0
453;Government;Mexico;Amarilla;Medium;1038.0;260.0;20.0;20760.0;1868.4;18891.6;10380.0;8511.599999999999;2014-06-01;6.0;June;2014.0
454;Midmarket;Canada;Amarilla;Medium;1630.5;260.0;15.0;24457.5;2201.175;22256.325;16305.0;5951.324999999999;2014-07-01;7.0;July;2014.0
455;Channel Partners;France;Amarilla;Medium;306.0;260.0;12.0;3672.0;330.48;3341.52;918.0;2423.52;2013-12-01;12.0;December;2013.0
456;Channel Partners;United States of America;Carretera;High;386.0;3.0;12.0;4632.0;463.2;4168.8;1158.0;3010.8;2013-10-01;10.0;October;2013.0
457;Government;United States of America;Montana;High;2328.0;5.0;7.0;16296.0;1629.6;14666.4;11640.0;3026.4;2014-09-01;9.0;September;2014.0
458;Channel Partners;United States of America;Paseo;High;386.0;10.0;12.0;4632.0;463.2;4168.8;1158.0;3010.8;2013-10-01;10.0;October;2013.0
459;Enterprise;United States of America;Carretera;High;3445.5;3.0;125.0;430687.5;43068.75;387618.75;413460.0;-25841.25;2014-04-01;4.0;April;2014.0
460;Enterprise;France;Carretera;High;1482.0;3.0;125.0;185250.0;18525.0;166725.0;177840.0;-11115.0;2013-12-01;12.0;December;2013.0
461;Government;United States of America;Montana;High;2313.0;5.0;350.0;809550.0;80955.0;728595.0;601380.0;127215.0;2014-05-01;5.0;May;2014.0
462;Enterprise;United States of America;Montana;High;1804.0;5.0;125.0;225500.0;22550.0;202950.0;216480.0;-13530.0;2013-11-01;11.0;November;2013.0
463;Midmarket;France;Montana;High;2072.0;5.0;15.0;31080.0;3108.0;27972.0;20720.0;7252.0;2014-12-01;12.0;December;2014.0
464;Government;France;Paseo;High;1954.0;10.0;20.0;39080.0;3908.0;35172.0;19540.0;15632.0;2014-03-01;3.0;March;2014.0
465;Small Business;Mexico;Paseo;High;591.0;10.0;300.0;177300.0;17730.0;159570.0;147750.0;11820.0;2014-05-01;5.0;May;2014.0
466;Midmarket;France;Paseo;High;2167.0;10.0;15.0;32505.0;3250.5;29254.5;21670.0;7584.5;2013-10-01;10.0;October;2013.0
467;Government;Germany;Paseo;High;241.0;10.0;20.0;4820.0;482.0;4338.0;2410.0;1928.0;2014-10-01;10.0;October;2014.0
468;Midmarket;Germany;Velo;High;681.0;120.0;15.0;10215.0;1021.5;9193.5;6810.0;2383.5;2014-01-01;1.0;January;2014.0
469;Midmarket;Germany;Velo;High;510.0;120.0;15.0;7650.0;765.0;6885.0;5100.0;1785.0;2014-04-01;4.0;April;2014.0
470;Midmarket;United States of America;Velo;High;790.0;120.0;15.0;11850.0;1185.0;10665.0;7900.0;2765.0;2014-05-01;5.0;May;2014.0
471;Government;France;Velo;High;639.0;120.0;350.0;223650.0;22365.0;201285.0;166140.0;35145.0;2014-07-01;7.0;July;2014.0
472;Enterprise;United States of America;Velo;High;1596.0;120.0;125.0;199500.0;19950.0;179550.0;191520.0;-11970.0;2014-09-01;9.0;September;2014.0
473;Small Business;United States of America;Velo;High;2294.0;120.0;300.0;688200.0;68820.0;619380.0;573500.0;45880.0;2013-10-01;10.0;October;2013.0
474;Government;Germany;Velo;High;241.0;120.0;20.0;4820.0;482.0;4338.0;2410.0;1928.0;2014-10-01;10.0;October;2014.0
475;Government;Germany;Velo;High;2665.0;120.0;7.0;18655.0;1865.5;16789.5;13325.0;3464.5;2014-11-01;11.0;November;2014.0
476;Enterprise;Canada;Velo;High;1916.0;120.0;125.0;239500.0;23950.0;215550.0;229920.0;-14370.0;2013-12-01;12.0;December;2013.0
477;Small Business;France;Velo;High;853.0;120.0;300.0;255900.0;25590.0;230310.0;213250.0;17060.0;2014-12-01;12.0;December;2014.0
478;Enterprise;Mexico;VTT;High;341.0;250.0;125.0;42625.0;4262.5;38362.5;40920.0;-2557.5;2014-05-01;5.0;May;2014.0
479;Midmarket;Mexico;VTT;High;641.0;250.0;15.0;9615.0;961.5;8653.5;6410.0;2243.5;2014-07-01;7.0;July;2014.0
480;Government;United States of America;VTT;High;2807.0;250.0;350.0;982450.0;98245.0;884205.0;729820.0;154385.0;2014-08-01;8.0;August;2014.0
481;Small Business;Mexico;VTT;High;432.0;250.0;300.0;129600.0;12960.0;116640.0;108000.0;8640.0;2014-09-01;9.0;September;2014.0
482;Small Business;United States of America;VTT;High;2294.0;250.0;300.0;688200.0;68820.0;619380.0;573500.0;45880.0;2013-10-01;10.0;October;2013.0
483;Midmarket;France;VTT;High;2167.0;250.0;15.0;32505.0;3250.5;29254.5;21670.0;7584.5;2013-10-01;10.0;October;2013.0
484;Enterprise;Canada;VTT;High;2529.0;250.0;125.0;316125.0;31612.5;284512.5;303480.0;-18967.5;2014-11-01;11.0;November;2014.0
485;Government;Germany;VTT;High;1870.0;250.0;350.0;654500.0;65450.0;589050.0;486200.0;102850.0;2013-12-01;12.0;December;2013.0
486;Enterprise;United States of America;Amarilla;High;579.0;260.0;125.0;72375.0;7237.5;65137.5;69480.0;-4342.5;2014-01-01;1.0;January;2014.0
487;Government;Canada;Amarilla;High;2240.0;260.0;350.0;784000.0;78400.0;705600.0;582400.0;123200.0;2014-02-01;2.0;February;2014.0
488;Small Business;United States of America;Amarilla;High;2993.0;260.0;300.0;897900.0;89790.0;808110.0;748250.0;59860.0;2014-03-01;3.0;March;2014.0
489;Channel Partners;Canada;Amarilla;High;3520.5;260.0;12.0;42246.0;4224.6;38021.4;10561.5;27459.9;2014-04-01;4.0;April;2014.0
490;Government;Mexico;Amarilla;High;2039.0;260.0;20.0;40780.0;4078.0;36702.0;20390.0;16312.0;2014-05-01;5.0;May;2014.0
491;Channel Partners;Germany;Amarilla;High;2574.0;260.0;12.0;30888.0;3088.8;27799.2;7722.0;20077.2;2014-08-01;8.0;August;2014.0
492;Government;Canada;Amarilla;High;707.0;260.0;350.0;247450.0;24745.0;222705.0;183820.0;38885.0;2014-09-01;9.0;September;2014.0
493;Midmarket;France;Amarilla;High;2072.0;260.0;15.0;31080.0;3108.0;27972.0;20720.0;7252.0;2014-12-01;12.0;December;2014.0
494;Small Business;France;Amarilla;High;853.0;260.0;300.0;255900.0;25590.0;230310.0;213250.0;17060.0;2014-12-01;12.0;December;2014.0
495;Channel Partners;France;Carretera;High;1198.0;3.0;12.0;14376.0;1581.36;12794.64;3594.0;9200.64;2013-10-01;10.0;October;2013.0
496;Government;France;Paseo;High;2532.0;10.0;7.0;17724.0;1949.64;15774.36;12660.0;3114.36;2014-04-01;4.0;April;2014.0
497;Channel Partners;France;Paseo;High;1198.0;10.0;12.0;14376.0;1581.36;12794.64;3594.0;9200.64;2013-10-01;10.0;October;2013.0
498;Midmarket;Canada;Velo;High;384.0;120.0;15.0;5760.0;633.5999999999998;5126.4;3840.0;1286.4;2014-01-01;1.0;January;2014.0
499;Channel Partners;Germany;Velo;High;472.0;120.0;12.0;5664.0;623.04;5040.96;1416.0;3624.96;2014-10-01;10.0;October;2014.0
500;Government;United States of America;VTT;High;1579.0;250.0;7.0;11053.0;1215.83;9837.17;7895.0;1942.17;2014-03-01;3.0;March;2014.0
501;Channel Partners;Mexico;VTT;High;1005.0;250.0;12.0;12060.0;1326.6;10733.4;3015.0;7718.4;2013-09-01;9.0;September;2013.0
502;Midmarket;United States of America;Amarilla;High;3199.5;260.0;15.0;47992.5;5279.174999999998;42713.325;31995.0;10718.325;2014-07-01;7.0;July;2014.0
503;Channel Partners;Germany;Amarilla;High;472.0;260.0;12.0;5664.0;623.04;5040.96;1416.0;3624.96;2014-10-01;10.0;October;2014.0
504;Channel Partners;Canada;Carretera;High;1937.0;3.0;12.0;23244.0;2556.84;20687.16;5811.0;14876.16;2014-02-01;2.0;February;2014.0
505;Government;Germany;Carretera;High;792.0;3.0;350.0;277200.0;30492.0;246708.0;205920.0;40788.0;2014-03-01;3.0;March;2014.0
506;Small Business;Germany;Carretera;High;2811.0;3.0;300.0;843300.0;92763.0;750537.0;702750.0;47787.0;2014-07-01;7.0;July;2014.0
507;Enterprise;France;Carretera;High;2441.0;3.0;125.0;305125.0;33563.75;271561.25;292920.0;-21358.75;2014-10-01;10.0;October;2014.0
508;Midmarket;Canada;Carretera;High;1560.0;3.0;15.0;23400.0;2574.0;20826.0;15600.0;5226.0;2013-11-01;11.0;November;2013.0
509;Government;Mexico;Carretera;High;2706.0;3.0;7.0;18942.0;2083.62;16858.38;13530.0;3328.380000000001;2013-11-01;11.0;November;2013.0
510;Government;Germany;Montana;High;766.0;5.0;350.0;268100.0;29491.0;238609.0;199160.0;39449.0;2014-01-01;1.0;January;2014.0
511;Government;Germany;Montana;High;2992.0;5.0;20.0;59840.0;6582.4;53257.6;29920.0;23337.6;2013-10-01;10.0;October;2013.0
512;Midmarket;Mexico;Montana;High;2157.0;5.0;15.0;32355.0;3559.05;28795.95;21570.0;7225.950000000003;2014-12-01;12.0;December;2014.0
513;Small Business;Canada;Paseo;High;873.0;10.0;300.0;261900.0;28809.0;233091.0;218250.0;14841.0;2014-01-01;1.0;January;2014.0
514;Government;Mexico;Paseo;High;1122.0;10.0;20.0;22440.0;2468.4;19971.6;11220.0;8751.599999999999;2014-03-01;3.0;March;2014.0
515;Government;Canada;Paseo;High;2104.5;10.0;350.0;736575.0;81023.25;655551.75;547170.0;108381.75;2014-07-01;7.0;July;2014.0
516;Channel Partners;Canada;Paseo;High;4026.0;10.0;12.0;48312.0;5314.32;42997.68;12078.0;30919.68;2014-07-01;7.0;July;2014.0
517;Channel Partners;France;Paseo;High;2425.5;10.0;12.0;29106.0;3201.66;25904.340000000004;7276.5;18627.840000000004;2014-07-01;7.0;July;2014.0
518;Government;Canada;Paseo;High;2394.0;10.0;20.0;47880.0;5266.8;42613.2;23940.0;18673.2;2014-08-01;8.0;August;2014.0
519;Midmarket;Mexico;Paseo;High;1984.0;10.0;15.0;29760.0;3273.6;26486.4;19840.0;6646.400000000002;2014-08-01;8.0;August;2014.0
520;Enterprise;France;Paseo;High;2441.0;10.0;125.0;305125.0;33563.75;271561.25;292920.0;-21358.75;2014-10-01;10.0;October;2014.0
521;Government;Germany;Paseo;High;2992.0;10.0;20.0;59840.0;6582.4;53257.6;29920.0;23337.6;2013-10-01;10.0;October;2013.0
522;Small Business;Canada;Paseo;High;1366.0;10.0;300.0;409800.0;45078.0;364722.0;341500.0;23222.0;2014-11-01;11.0;November;2014.0
523;Government;France;Velo;High;2805.0;120.0;20.0;56100.0;6171.0;49929.0;28050.0;21879.0;2013-09-01;9.0;September;2013.0
524;Midmarket;Mexico;Velo;High;655.0;120.0;15.0;9825.0;1080.75;8744.25;6550.0;2194.25;2013-09-01;9.0;September;2013.0
525;Government;Mexico;Velo;High;344.0;120.0;350.0;120400.0;13244.0;107156.0;89440.0;17716.0;2013-10-01;10.0;October;2013.0
526;Government;Canada;Velo;High;1808.0;120.0;7.0;12656.0;1392.16;11263.84;9040.0;2223.84;2014-11-01;11.0;November;2014.0
527;Channel Partners;France;VTT;High;1734.0;250.0;12.0;20808.0;2288.88;18519.12;5202.0;13317.12;2014-01-01;1.0;January;2014.0
528;Enterprise;Mexico;VTT;High;554.0;250.0;125.0;69250.0;7617.5;61632.5;66480.0;-4847.5;2014-01-01;1.0;January;2014.0
529;Government;Canada;VTT;High;2935.0;250.0;20.0;58700.0;6457.0;52243.0;29350.0;22893.0;2013-11-01;11.0;November;2013.0
530;Enterprise;Germany;Amarilla;High;3165.0;260.0;125.0;395625.0;43518.75;352106.25;379800.0;-27693.75;2014-01-01;1.0;January;2014.0
531;Government;Mexico;Amarilla;High;2629.0;260.0;20.0;52580.0;5783.8;46796.2;26290.0;20506.2;2014-01-01;1.0;January;2014.0
532;Enterprise;France;Amarilla;High;1433.0;260.0;125.0;179125.0;19703.75;159421.25;171960.0;-12538.75;2014-05-01;5.0;May;2014.0
533;Enterprise;Mexico;Amarilla;High;947.0;260.0;125.0;118375.0;13021.25;105353.75;113640.0;-8286.25;2013-09-01;9.0;September;2013.0
534;Government;Mexico;Amarilla;High;344.0;260.0;350.0;120400.0;13244.0;107156.0;89440.0;17716.0;2013-10-01;10.0;October;2013.0
535;Midmarket;Mexico;Amarilla;High;2157.0;260.0;15.0;32355.0;3559.05;28795.95;21570.0;7225.950000000003;2014-12-01;12.0;December;2014.0
536;Government;United States of America;Paseo;High;380.0;10.0;7.0;2660.0;292.6;2367.4;1900.0;467.40000000000015;2013-09-01;9.0;September;2013.0
537;Government;Mexico;Carretera;High;886.0;3.0;350.0;310100.0;37212.0;272888.0;230360.0;42528.0;2014-06-01;6.0;June;2014.0
538;Enterprise;Canada;Carretera;High;2416.0;3.0;125.0;302000.0;36240.0;265760.0;289920.0;-24160.0;2013-09-01;9.0;September;2013.0
